Item Name,Category,100g,250g,500g,1kg
Pumpkin Seed,Seed,60,150,300,600
Sunflower Seed,Seed,50,120,230,460
Chia Seed,Seed,50,100,200,400
Flax Seed,Seed,30,75,150,300
Watermelon Seed,Seed,90,225,450,900
Velari Seed,Seed,100,230,460,920
Sabja Seed,Seed,200,500,1000,2000
Kiwi,Dried Fruit,60,150,300,600
Mixed Fruit,Dried Fruit,70,170,340,680
Mango,Dried Fruit,70,170,340,680
Pineapple Coin,Dried Fruit,70,170,340,680
Strawberry,Dried Fruit,95,230,460,920
Cherry,Dried Fruit,80,200,400,800
Cranberry,Dried Fruit,70,170,340,680
Prunes,Dried Fruit,100,200,400,800
Amla,Dried Fruit,40,100,200,400
Badam,Nut,100,240,480,960
Cashew,Nut,100,230,460,920
Jumbo Salted Pista,Nut,140,340,680,1360
Plain Pista,Nut,250,600,1200,2400
Bold Badam,Nut,145,290,580,1160
Bold Cashew,Nut,140,280,560,1120
Roasted Badam,Nut,110,220,440,880
Walnut Premium,Nut,190,380,760,1520
Go Walnut,Nut,,400,800,1600
AG1 Walnut,Nut,,300,600,1200
Golden Tree Walnut,Nut,,250,500,1000
Fig Anjeer,Dry Fruit,110,260,520,1040
Jumbo Anjeer,Dry Fruit,140,350,700,1400
White Grape,Raisin,60,150,300,600
Kabul Grape,Raisin,,150,300,600
Angoor Grape,Raisin,,200,400,800
Black Grape Seed,Raisin,50,120,240,480
Seedless Grape,Raisin,,180,360,720
Dry Apricot,Dried Fruit,,150,300,600
Wet Apricot,Dried Fruit,,250,500,1000
Makhana,Makhana,100,250,500,1000
Jumbo Makhana,Makhana,150,375,750,1500
Mixed Nut,Nut,,320,640,1280
Black Dry Dates,Dates,,100,200,400
White Dry Dates,Dates,,80,160,320
Mabroom Dates,Dates,125,250,500,1000
Ajwa Dates,Dates,,200,400,800
Safawi Kalmi Dates,Dates,,150,300,600
Wet Sukkari Dates,Dates,,130,260,520
Black Dates Wet,Dates,,120,240,480
Dates Syrup Imported,Dates Syrup,,200,400,800
Diamond Kalkandu,Sweetener,,30,60,120
Big Kalkandu,Sweetener,,30,60,120
Badam Pisini,Sweetener,50,120,240,480
Gulkand,Sweetener,,,90,
Kattu Chakkarai,Sweetener,,40,80,160
